Price,Quantity,Type
87353.00000000,6.78364000,Bid
87352.99000000,0.28306000,Bid
87352.81000000,0.00007000,Bid
87352.80000000,0.04594000,Bid
87352.79000000,0.00007000,Bid
87352.72000000,0.00007000,Bid
87352.71000000,0.00007000,Bid
87352.56000000,0.00021000,Bid
87352.55000000,0.77808000,Bid
87352.53000000,0.35254000,Bid
87352.06000000,0.01723000,Bid
87352.00000000,0.07266000,Bid
87351.95000000,0.19423000,Bid
87351.93000000,0.75554000,Bid
87351.26000000,0.01144000,Bid
87350.70000000,0.16027000,Bid
87349.50000000,0.04580000,Bid
87349.32000000,0.02137000,Bid
87348.37000000,0.49500000,Bid
87348.32000000,0.00009000,Bid
87348.00000000,0.07260000,Bid
87347.73000000,0.02290000,Bid
87347.54000000,0.00054000,Bid
87347.53000000,0.35931000,Bid
87346.74000000,0.00028000,Bid
87346.53000000,0.00114000,Bid
87346.50000000,0.19642000,Bid
87346.44000000,0.11444000,Bid
87346.40000000,0.04580000,Bid
87346.30000000,0.05724000,Bid
87346.13000000,0.01500000,Bid
87346.02000000,0.01144000,Bid
87346.00000000,0.04580000,Bid
87345.91000000,0.01716000,Bid
87345.86000000,0.01000000,Bid
87345.81000000,0.00477000,Bid
87345.78000000,0.15120000,Bid
87345.70000000,0.00012000,Bid
87345.06000000,0.00500000,Bid
87344.93000000,0.00007000,Bid
87344.90000000,0.16200000,Bid
87344.86000000,0.00226000,Bid
87344.04000000,0.17280000,Bid
87344.02000000,0.27513000,Bid
87344.00000000,0.00200000,Bid
87343.94000000,0.00050000,Bid
87343.86000000,0.15126000,Bid
87342.82000000,0.00012000,Bid
87342.78000000,0.00006000,Bid
87342.52000000,1.35393000,Bid
87342.50000000,0.04580000,Bid
87341.97000000,0.00114000,Bid
87341.40000000,0.20160000,Bid
87341.33000000,0.19440000,Bid
87341.32000000,0.05625000,Bid
87340.03000000,0.00012000,Bid
87340.00000000,0.04786000,Bid
87339.91000000,0.01144000,Bid
87339.68000000,0.08039000,Bid
87339.67000000,0.68660000,Bid
87339.66000000,0.35323000,Bid
87339.63000000,2.92230000,Bid
87339.62000000,10.60764000,Bid
87339.61000000,0.17289000,Bid
87339.59000000,0.00009000,Bid
87339.05000000,0.01144000,Bid
87339.00000000,0.04580000,Bid
87338.99000000,0.01145000,Bid
87338.82000000,0.00012000,Bid
87338.76000000,0.83084000,Bid
87338.62000000,0.00006000,Bid
87338.52000000,0.00006000,Bid
87338.26000000,0.34337000,Bid
87338.24000000,0.00007000,Bid
87338.07000000,0.02000000,Bid
87337.95000000,0.00503000,Bid
87337.79000000,0.00300000,Bid
87337.77000000,0.04000000,Bid
87337.74000000,0.85863000,Bid
87337.09000000,0.00012000,Bid
87336.99000000,0.00128000,Bid
87336.97000000,0.08000000,Bid
87336.95000000,0.16053000,Bid
87336.00000000,0.00200000,Bid
87335.89000000,0.02871000,Bid
87335.76000000,0.03436000,Bid
87335.53000000,0.00057000,Bid
87335.50000000,0.04580000,Bid
87335.36000000,0.00859000,Bid
87335.32000000,0.82439000,Bid
87335.20000000,0.85843000,Bid
87335.16000000,0.02252000,Bid
87334.85000000,0.32917000,Bid
87334.26000000,0.00006000,Bid
87334.18000000,0.00012000,Bid
87334.03000000,0.00007000,Bid
87333.94000000,0.00007000,Bid
87333.63000000,2.00972000,Bid
87333.62000000,0.85843000,Bid
87333.60000000,0.04580000,Bid
87353.01000000,1.86148000,Ask
87353.02000000,0.00046000,Ask
87353.16000000,0.00260000,Ask
87353.36000000,0.00013000,Ask
87353.37000000,0.00007000,Ask
87353.91000000,0.00007000,Ask
87353.92000000,0.00007000,Ask
87354.22000000,0.00013000,Ask
87355.01000000,0.00220000,Ask
87355.09000000,0.00006000,Ask
87355.27000000,0.00252000,Ask
87355.55000000,0.00014000,Ask
87355.56000000,0.75558000,Ask
87356.00000000,0.07067000,Ask
87356.19000000,0.00006000,Ask
87356.20000000,0.00026000,Ask
87356.50000000,0.04587000,Ask
87356.51000000,0.57889000,Ask
87356.69000000,0.02452000,Ask
87357.40000000,0.00500000,Ask
87357.91000000,0.01785000,Ask
87358.12000000,0.04362000,Ask
87358.20000000,0.16000000,Ask
87358.33000000,0.09036000,Ask
87359.10000000,0.01711000,Ask
87359.17000000,0.02129000,Ask
87359.20000000,0.04580000,Ask
87359.57000000,0.00006000,Ask
87359.82000000,0.00006000,Ask
87359.99000000,0.00466000,Ask
87360.00000000,0.11646000,Ask
87360.26000000,0.04020000,Ask
87361.99000000,0.17448000,Ask
87362.00000000,0.07060000,Ask
87362.64000000,0.03600000,Ask
87363.30000000,0.00096000,Ask
87363.49000000,0.16551000,Ask
87363.50000000,0.04580000,Ask
87363.61000000,0.00092000,Ask
87363.89000000,0.08039000,Ask
87363.91000000,0.00012000,Ask
