Price,Quantity,Type
84134.1,0.0641184,Bid
84132.9,0.00692609,Bid
84130.7,0.23405172,Bid
84130.1,0.09490266,Bid
84129.9,0.0265,Bid
84128.2,0.03567196,Bid
84125.8,0.06439898,Bid
84125.7,0.0265,Bid
84123.7,0.01043944,Bid
84122.5,0.005,Bid
84122.4,0.02059588,Bid
84122.3,0.19997465,Bid
84121.8,0.06173359,Bid
84121.7,0.05890183,Bid
84118.6,0.02799426,Bid
84118.5,0.11888254,Bid
84117.6,0.12482962,Bid
84116.2,0.29723672,Bid
84116.1,0.118862,Bid
84113.3,0.09549894,Bid
84112.3,0.1665,Bid
84110.2,0.14288359,Bid
84109.3,0.00894622,Bid
84109.1,0.07422465,Bid
84107.4,0.01958078,Bid
84106.3,0.118862,Bid
84106.2,0.00011886,Bid
84105.3,0.127686,Bid
84105,0.10544848,Bid
84104.4,0.05953452,Bid
84104.3,0.02259527,Bid
84103.9,0.00024292,Bid
84103.7,0.00021756,Bid
84103.1,0.0059,Bid
84102.2,0.00023794,Bid
84100.9,0.285362,Bid
84099.9,0.00024356,Bid
84096.8,0.00414886,Bid
84096,0.00011886,Bid
84094.7,0.01184568,Bid
84094.3,0.00064548,Bid
84092.2,0.17960916,Bid
84092.1,0.21827916,Bid
84091.2,0.13078544,Bid
84091.1,0.16983,Bid
84090.9,0.439441,Bid
84088.8,0.14288359,Bid
84088.3,0.00297268,Bid
84088.2,0.01259981,Bid
84087.7,0.00118907,Bid
84087.6,0.005,Bid
84085.1,0.02727006,Bid
84084.1,0.05352603,Bid
84084,0.17842009,Bid
84083.7,0.00073382,Bid
84083,0.01598157,Bid
84082.9,0.00072956,Bid
84082.5,0.04995,Bid
84081.4,0.00074141,Bid
84079.7,0.19952541,Bid
84079.6,0.17842009,Bid
84078.9,0.00079533,Bid
84076.2,0.17842009,Bid
84075.6,0.1665,Bid
84073.7,0.0059,Bid
84073.4,0.04896167,Bid
84072.6,0.17842009,Bid
84071.4,0.00594732,Bid
84069.3,0.65788078,Bid
84069.2,0.17842009,Bid
84068.8,1.95895004,Bid
84065.6,0.09682619,Bid
84065.5,0.17842009,Bid
84065.2,0.14288359,Bid
84062.9,0.19068868,Bid
84062.8,0.1665,Bid
84061.8,0.17842009,Bid
84060.8,0.118862,Bid
84060.2,0.21226809,Bid
84059.7,0.23792581,Bid
84058.5,0.1111349,Bid
84058.4,0.17842009,Bid
84057.7,0.0515266,Bid
84054.8,0.17842009,Bid
84054.6,0.35092747,Bid
84054.2,0.59485411,Bid
84051,0.22146915,Bid
84050.9,0.17842009,Bid
84050.8,0.1665,Bid
84045.5,0.14991713,Bid
84045.4,0.17842009,Bid
84043.8,0.14288359,Bid
84043.6,0.02379717,Bid
84042,0.17842009,Bid
84041.9,0.50046886,Bid
84041.8,1.18909033,Bid
84041,0.188352,Bid
84040.9,0.1665,Bid
84040.5,0.23798049,Bid
84039.1,0.02381,Bid
84134.2,0.25429073,Ask
84135.9,0.00295201,Ask
84136.5,0.00351,Ask
84137.5,0.01702879,Ask
84137.6,0.03026262,Ask
84138.4,0.0265,Ask
84139.5,0.05412168,Ask
84139.6,0.11592133,Ask
84139.7,0.18727966,Ask
84139.9,0.1665,Ask
84140,0.02,Ask
84142.5,0.127571,Ask
84142.8,0.22859651,Ask
84142.9,0.178293,Ask
84143.2,0.17842009,Ask
