Price,Quantity,Type
87345.6,0.93741733,Bid
87344.4,0.11449797,Bid
87344.1,0.29135484,Bid
87344,0.0229,Bid
87343.9,0.04580353,Bid
87342.3,0.00001,Bid
87342.2,0.53228893,Bid
87342.1,0.36716465,Bid
87342,0.0229,Bid
87340.5,0.00100921,Bid
87340.2,0.002,Bid
87340,0.02291,Bid
87339.1,0.47825576,Bid
87339,0.01284,Bid
87338.5,0.00001,Bid
87338,0.0229,Bid
87337.9,1.55606185,Bid
87337.6,0.00036674,Bid
87336.6,0.00745356,Bid
87334.8,0.00001,Bid
87334.4,0.0071918,Bid
87333.8,0.01026588,Bid
87333.7,0.0630812,Bid
87333.5,0.16672833,Bid
87333.4,0.00016652,Bid
87333.3,0.2788355,Bid
87332.9,0.06769658,Bid
87332.7,0.17228893,Bid
87332.6,0.06970465,Bid
87332.5,0.03854,Bid
87332,0.00744166,Bid
87331.6,0.01,Bid
87331.5,0.00001153,Bid
87331.1,0.00001,Bid
87330.8,0.05731992,Bid
87330.5,0.29068984,Bid
87329.7,0.002,Bid
87329.5,0.10818936,Bid
87328.9,0.05014334,Bid
87328.8,0.04,Bid
87328.7,0.34331955,Bid
87328.6,0.17010754,Bid
87328,0.08701,Bid
87327.7,0.10300336,Bid
87327.5,0.01285,Bid
87327.2,0.10603931,Bid
87326.8,0.32155977,Bid
87326.7,0.1646885,Bid
87326.3,0.00001153,Bid
87325.9,0.00001,Bid
87325.8,0.09386336,Bid
87325.4,0.10405561,Bid
87325.3,0.057,Bid
87325.1,0.00001501,Bid
87325,0.00686938,Bid
87324.9,0.34348,Bid
87324.5,0.165,Bid
87323.6,0.03015535,Bid
87323.5,0.350331,Bid
87322.9,0.0052,Bid
87322.3,0.58148234,Bid
87322.2,0.26219904,Bid
87321.7,0.19635195,Bid
87321.4,0.00022149,Bid
87321.3,0.2115,Bid
87321.2,0.00001153,Bid
87320.3,0.17174,Bid
87320,0.00001,Bid
87319.7,0.17179266,Bid
87319.1,0.17234627,Bid
87319,0.34331955,Bid
87318.6,0.10818936,Bid
87318.3,0.16083359,Bid
87318,0.58521907,Bid
87317.8,0.00458097,Bid
87317.5,0.14027848,Bid
87317.1,0.13913778,Bid
87316.6,0.0005,Bid
87316.4,0.000015,Bid
87316.2,0.000015,Bid
87316.1,0.05724081,Bid
87316,0.00001153,Bid
87315.8,0.1145244,Bid
87315.1,0.13523141,Bid
87314.6,0.02091901,Bid
87313.5,0.00016652,Bid
87313.3,0.17228893,Bid
87312.8,0.0008,Bid
87312.7,0.0052,Bid
87312,0.35527336,Bid
87310.9,0.00001153,Bid
87310.8,0.1202,Bid
87310.5,0.13523671,Bid
87310.4,0.14043771,Bid
87310.1,0.34331955,Bid
87309.3,0.29371,Bid
87308,0.026,Bid
87307.7,0.10820436,Bid
87307.6,0.00357,Bid
87307.4,2.72132443,Bid
87345.7,0.85914529,Ask
87346,0.0229,Ask
87346.1,0.00009418,Ask
87346.4,0.00001,Ask
87346.7,0.00072802,Ask
87347.5,0.11448304,Ask
87348,0.0229,Ask
87349.6,0.00001,Ask
87350,0.0229,Ask
87350.8,0.00686925,Ask
87351,0.17228893,Ask
87351.1,0.68679955,Ask
87351.6,0.03599839,Ask
87352,0.02291153,Ask
87352.4,0.002,Ask
87352.8,0.070485,Ask
87353,0.0102,Ask
87353.4,0.12512549,Ask
87353.6,0.17174,Ask
87353.7,0.01764149,Ask
87354,0.0556803,Ask
87354.6,0.00003,Ask
87355.8,0.00001,Ask
87355.9,0.0240887,Ask
87356,0.02291501,Ask
87356.2,0.01,Ask
87356.7,0.01144783,Ask
87357.1,0.06223572,Ask
87357.3,0.0660835,Ask
87357.5,0.06205813,Ask
87357.8,0.06850442,Ask
87357.9,0.01144808,Ask
87358,0.13736932,Ask
87358.3,0.07580353,Ask
87358.4,0.03,Ask
87359.3,0.04,Ask
87359.5,0.03746925,Ask
87359.6,0.17173,Ask
87359.7,0.11447771,Ask
87359.8,0.17228893,Ask
87359.9,3.19858452,Ask
87360,9.99048421,Ask
87360.7,0.00001,Ask
87361.8,0.06,Ask
87361.9,0.06,Ask
87362,0.32155156,Ask
87362.2,0.22582256,Ask
87362.3,0.00001152,Ask
87362.8,0.01144652,Ask
87362.9,0.002,Ask
87363.1,0.09952971,Ask
87363.2,0.10115163,Ask
87363.4,0.136249,Ask
87363.9,0.04,Ask
87364.7,0.211515,Ask
87364.8,0.10359834,Ask
87365,0.10366752,Ask
87365.7,0.02063394,Ask
87366,0.01,Ask
87366.2,0.05724081,Ask
87366.6,0.00090889,Ask
87366.7,0.00350491,Ask
87367.5,0.12022152,Ask
87369.1,0.45544743,Ask
87369.2,0.08087,Ask
87369.3,0.0071918,Ask
87369.4,0.34331955,Ask
87369.9,0.11445364,Ask
87370.3,0.24902063,Ask
87370.7,0.1553075,Ask
87370.9,0.00033453,Ask
87371.3,0.1735331,Ask
87372.2,0.11923676,Ask
87372.3,0.34453721,Ask
87372.6,0.00001152,Ask
87372.8,0.00230895,Ask
87373.1,0.10818724,Ask
87373.2,0.00016652,Ask
87373.4,0.11449271,Ask
87375.6,0.13523671,Ask
87376.2,0.01,Ask
87376.3,0.1202,Ask
87376.8,0.00357,Ask
87377.1,0.01664465,Ask
87377.2,0.01144464,Ask
87377.5,0.0114446,Ask
87377.6,0.2115,Ask
87377.8,0.00001152,Ask
87377.9,0.01144455,Ask
87378.2,0.34331955,Ask
87378.3,0.01110529,Ask
87378.6,0.11279901,Ask
87380,0.00001,Ask
87380.5,0.02288794,Ask
87380.6,0.70043417,Ask
87381.1,0.17228893,Ask
87382.1,0.000015,Ask
87382.3,0.11447771,Ask
87382.7,0.00555264,Ask
87382.9,0.00001152,Ask
