Price,Quantity,Type
84136.30000000,7.92182000,Bid
84136.29000000,0.00047000,Bid
84136.25000000,0.00007000,Bid
84136.22000000,0.00209000,Bid
84136.01000000,0.00021000,Bid
84136.00000000,0.02834000,Bid
84134.01000000,0.00021000,Bid
84134.00000000,0.02834000,Bid
84133.95000000,0.00014000,Bid
84133.94000000,0.23863000,Bid
84133.90000000,0.00014000,Bid
84133.89000000,0.35760000,Bid
84133.88000000,0.01160000,Bid
84133.82000000,0.00753000,Bid
84133.80000000,0.04276000,Bid
84132.87000000,0.02289000,Bid
84132.55000000,0.00118000,Bid
84132.54000000,0.02393000,Bid
84132.32000000,0.15317000,Bid
84132.08000000,0.14000000,Bid
84132.00000000,0.02820000,Bid
84131.98000000,0.01687000,Bid
84130.87000000,0.32780000,Bid
84130.20000000,0.00006000,Bid
84130.00000000,0.02820000,Bid
84129.98000000,0.10116000,Bid
84129.97000000,0.14880000,Bid
84129.70000000,0.00117000,Bid
84129.69000000,0.00356000,Bid
84129.68000000,0.00393000,Bid
84129.46000000,0.01841000,Bid
84129.21000000,0.00006000,Bid
84128.79000000,0.00118000,Bid
84128.43000000,0.00013000,Bid
84128.00000000,0.02820000,Bid
84126.87000000,0.04000000,Bid
84126.84000000,0.00031000,Bid
84126.21000000,0.00690000,Bid
84126.20000000,0.03000000,Bid
84126.00000000,0.02826000,Bid
84125.80000000,0.00013000,Bid
84125.77000000,0.00118000,Bid
84125.67000000,0.25779000,Bid
84125.32000000,0.00009000,Bid
84125.20000000,0.04000000,Bid
84124.98000000,0.15924000,Bid
84124.17000000,0.00006000,Bid
84124.00000000,0.02820000,Bid
84123.80000000,0.01188000,Bid
84123.78000000,0.04000000,Bid
84123.57000000,0.00008000,Bid
84123.51000000,0.00445000,Bid
84123.45000000,0.45000000,Bid
84122.94000000,0.04000000,Bid
84122.90000000,0.04000000,Bid
84122.67000000,0.04000000,Bid
84122.64000000,0.09628000,Bid
84122.21000000,0.04000000,Bid
84122.00000000,0.02820000,Bid
84121.80000000,0.00006000,Bid
84121.37000000,0.00013000,Bid
84121.29000000,0.37272000,Bid
84121.27000000,0.00300000,Bid
84120.99000000,0.08000000,Bid
84120.94000000,0.04000000,Bid
84120.34000000,0.85624000,Bid
84120.26000000,0.05942000,Bid
84120.13000000,0.01188000,Bid
84120.00000000,0.03035000,Bid
84119.58000000,0.04000000,Bid
84119.48000000,0.00059000,Bid
84119.19000000,0.00013000,Bid
84119.12000000,0.00006000,Bid
84118.15000000,0.59447000,Bid
84118.14000000,0.08338000,Bid
84118.00000000,0.02820000,Bid
84117.91000000,0.01100000,Bid
84117.60000000,0.00006000,Bid
84116.96000000,1.50524000,Bid
84116.95000000,0.85627000,Bid
84116.90000000,0.00009000,Bid
84116.00000000,0.02820000,Bid
84115.57000000,0.00013000,Bid
84114.95000000,0.05942000,Bid
84114.90000000,1.00000000,Bid
84114.59000000,0.35652000,Bid
84114.49000000,1.32531000,Bid
84114.29000000,0.21439000,Bid
84114.22000000,0.00300000,Bid
84114.07000000,0.00006000,Bid
84113.67000000,0.45000000,Bid
84113.58000000,0.03997000,Bid
84113.48000000,0.03567000,Bid
84113.42000000,0.85631000,Bid
84113.40000000,0.00006000,Bid
84112.97000000,0.00013000,Bid
84112.44000000,0.81951000,Bid
84112.30000000,0.00013000,Bid
84112.14000000,0.35919000,Bid
84111.80000000,0.59421000,Bid
84136.31000000,3.64001000,Ask
84136.32000000,0.01420000,Ask
84136.33000000,0.00007000,Ask
84136.79000000,0.00007000,Ask
84136.80000000,0.00007000,Ask
84136.81000000,0.00013000,Ask
84136.83000000,0.00208000,Ask
84136.88000000,0.00021000,Ask
84136.89000000,0.27132000,Ask
84136.90000000,0.13526000,Ask
84137.30000000,0.00006000,Ask
84137.61000000,0.00014000,Ask
84137.62000000,0.78479000,Ask
84138.74000000,0.01687000,Ask
84139.29000000,0.00007000,Ask
84139.44000000,0.11693000,Ask
84139.48000000,0.04006000,Ask
84139.74000000,0.02467000,Ask
84139.82000000,0.00118000,Ask
84139.98000000,0.08338000,Ask
84140.00000000,0.02401000,Ask
84140.46000000,0.00007000,Ask
84140.50000000,0.01000000,Ask
84140.81000000,0.00009000,Ask
84140.86000000,0.01833000,Ask
84141.05000000,0.01000000,Ask
84141.15000000,0.02000000,Ask
84141.31000000,0.07871000,Ask
84141.81000000,0.02000000,Ask
84142.00000000,0.02820000,Ask
84142.43000000,0.00008000,Ask
84142.48000000,0.00013000,Ask
84142.80000000,0.02413000,Ask
84142.83000000,0.14937000,Ask
84143.03000000,0.01188000,Ask
84143.34000000,0.00118000,Ask
84143.51000000,0.04000000,Ask
84143.57000000,0.02854000,Ask
84143.63000000,0.01188000,Ask
84143.72000000,0.05200000,Ask
84143.75000000,0.02359000,Ask
84143.97000000,0.06000000,Ask
84144.00000000,0.00902000,Ask
84144.01000000,0.08000000,Ask
84144.35000000,0.00006000,Ask
84144.42000000,0.76683000,Ask
84144.43000000,0.17992000,Ask
84144.44000000,0.00107000,Ask
84144.45000000,0.15727000,Ask
84144.80000000,0.10483000,Ask
84144.81000000,0.05200000,Ask
84144.87000000,0.05600000,Ask
84144.99000000,0.00998000,Ask
84145.00000000,0.03300000,Ask
84145.09000000,0.01189000,Ask
84145.41000000,0.06400000,Ask
84145.56000000,0.00013000,Ask
84145.58000000,0.00008000,Ask
84145.64000000,0.71369000,Ask
84145.65000000,0.47537000,Ask
84145.78000000,0.05942000,Ask
84145.86000000,0.59421000,Ask
84145.88000000,0.00213000,Ask
84146.36000000,0.00439000,Ask
84146.56000000,0.35652000,Ask
84146.69000000,0.01145000,Ask
84146.83000000,0.00084000,Ask
84146.84000000,0.00019000,Ask
84147.00000000,0.00006000,Ask
84147.09000000,1.17243000,Ask
84147.33000000,0.00059000,Ask
84147.43000000,0.00015000,Ask
84147.89000000,0.00300000,Ask
84147.94000000,0.05600000,Ask
84148.00000000,0.00235000,Ask
84148.18000000,0.06400000,Ask
84148.40000000,0.00009000,Ask
84148.44000000,0.00007000,Ask
84148.46000000,0.00007000,Ask
84148.72000000,0.45000000,Ask
84148.84000000,0.00029000,Ask
84148.85000000,0.32735000,Ask
84148.92000000,0.01188000,Ask
84149.07000000,0.08000000,Ask
84149.23000000,0.00009000,Ask
84149.28000000,0.89132000,Ask
84149.40000000,0.00006000,Ask
84149.52000000,0.08338000,Ask
84149.59000000,0.00092000,Ask
84149.61000000,0.06400000,Ask
84149.62000000,0.06400000,Ask
84149.73000000,0.00013000,Ask
84149.95000000,0.00418000,Ask
84150.00000000,0.02023000,Ask
84150.16000000,0.00013000,Ask
84150.20000000,0.89132000,Ask
84150.27000000,0.89132000,Ask
84150.71000000,0.00050000,Ask
84150.83000000,0.00021000,Ask
84151.00000000,0.00445000,Ask
